#{"t_start": 1763241969.2923694, "env_id": "LunarLander-v3"}
r,l,t
103.83913,1000,170.752487
76.847349,1000,171.383283
-1.679505,373,171.549296
208.419068,472,171.926288
-32.715878,489,172.147295
209.358283,441,172.509804
108.827107,1000,173.126802
54.229667,1000,173.74566
98.651803,1000,174.37166
82.976149,1000,174.98488
-21.259883,373,175.16688
71.081615,826,175.703883
67.995839,1000,176.332232
22.723088,351,176.492233
-57.274043,481,176.69824
100.015357,678,177.173234
142.785621,501,177.552235
119.736806,1000,178.165689
223.555753,420,178.362696
110.94873,784,178.885448
2.783709,313,179.028456
-35.902506,277,179.146456
1.424481,463,179.53746
106.580992,1000,180.174357
67.637885,1000,182.12967
101.768997,1000,182.766663
191.854735,436,182.968172
-92.637393,401,183.307418
-57.592407,278,183.449418
-63.528571,282,183.577481
122.39015,1000,184.221749
154.543949,1000,184.857049
127.620648,1000,185.47099
-45.553838,351,185.618987
106.880582,1000,186.235985
-48.68477,287,186.532008
119.482484,1000,187.164833
206.517995,445,187.375842
188.276907,508,187.751835
-15.239409,299,187.900833
-23.16135,313,188.041842
110.18015,1000,188.671381
120.606401,541,189.080134
123.012187,524,189.320134
54.388959,1000,189.942208
121.42239,1000,190.548135
147.14671,1000,191.192137
116.61176,1000,191.82042
127.004427,1000,192.445998
122.203792,1000,193.07727
-14.50537,304,193.206089
209.613392,457,193.589717
-7.50691,376,193.753726
-46.101519,224,193.849788
54.459799,1000,194.493219
-65.68058,338,194.824211
-28.351931,387,195.001221
176.194674,919,195.597457
-19.074985,367,195.756459
-20.497203,261,196.020455
44.64083,1000,196.641458
111.669989,1000,197.968925
53.650611,1000,198.593919
-9.178483,266,198.894913
-65.385436,249,199.013906
189.257496,501,199.226907
-56.191463,259,199.503901
-36.011659,338,199.669446
-52.586975,289,199.792445
141.538951,1000,200.425451
-10.494944,276,200.704741
-52.765447,278,200.838745
-64.628906,261,200.952808
-25.795531,239,201.05375
-51.760641,249,201.33174
116.205919,1000,201.962388
-45.63967,330,202.117388
-57.466586,241,202.223458
227.133068,491,202.601527
-33.171989,241,202.720527
-65.00429,263,202.840586
81.311292,1000,203.468528
-56.787593,256,203.576528
-100.727102,301,203.873746
211.357232,375,204.057776
-10.898497,242,204.162768
-24.492835,295,204.290774
198.207109,317,204.599767
-52.808008,259,204.715831
133.923467,1000,205.352777
144.174587,1000,205.98384
94.865426,1000,206.628489
-42.777721,299,206.756432
130.435336,1000,207.382676
-6.065317,374,207.718668
129.072736,1000,208.340234
12.796962,245,208.457498
136.69175,1000,209.111235
-15.391938,267,209.231233
91.823781,1000,209.855306
97.64493,1000,210.482663
146.724555,1000,211.096011
212.250382,784,211.614009
106.546406,1000,212.246142
95.599994,1000,212.90103
93.065153,1000,213.520026
87.967811,1000,215.41854
59.369392,1000,216.041536
69.435952,1000,216.643536
-59.647199,620,216.92571
192.894536,429,217.280413
108.64604,1000,217.895411
-70.921455,472,218.118423
-43.749982,272,218.23442
-65.322318,636,218.693706
201.706265,900,219.282629
63.762092,1000,219.909629
100.585389,1000,220.518631
